curr_id,expense_type
25400051100369,โครงการปกติ
25510051108732,โครงการพิเศษ
2509051100496,ปกติ
25520051102668,ปกติ
25510051100351,ปกติ
25400051100191,ปกติ
25520051102681,ปกติ
25470051100479,พิเศษ
25520051102679,ปกติ
25470051100323,โครงการปกติ
25420051100193,โครงการปกติ
25420051100193,โครงการพิเศษ
25410051100225,โครงการปกติ
25570051102304,โครงการพิเศษ
25630051100104,โครงการปกติ
25570051100234,พิเศษ
25520051102815,โครงการปกติ
25500051100585,ปกติ
25470051100378,โครงการปกติ
25610051100036,โครงการพิเศษ
25610054001377,พิเศษ
25520051102624,ปกติและโครงการพิเศษ
25570051102416,ปกติ
25570051102405,โครงการปกติ
25400051100393,โครงการปกติ
25400051100189,ปกติ
25490051100461,พิเศษ
25590051100113,โครงการปกติ
25400051100415,ปกติ
